product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
5410126006049,The Original Speculoos,Lotus,484.0,2033.0,72.6,38.1,19.0,8.0,4.9,1.3,0.92,0.368,,3.0,6.175,0.5247933884297521,Moderate,Moderate Sugar,No
6111245470030,Afia huile de table,AFIA,900.0,3700.0,0.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,High,Low Sugar,No
4056489891130,Pâte à tartiner cacao noisettes bio,LIDL,516.0,2157.0,59.0,57.6,27.5,4.0,6.4,2.5,0.12,0.048,,4.0,16.0,0.976271186440678,High,High Sugar,Yes
3229820804224,Céréales complètes au chocolat noir intense,Bjorg,460.0,1925.0,58.0,17.0,19.0,6.6,9.6,9.1,0.17,0.068,,3.0,2.27596153846154,0.29310344827586204,Moderate,Low Sugar,No
3608580135791,Bonne maman pate a tartiner noisettes et cacao,Bonne Maman,551.0,2299.3,53.0,51.0,34.0,5.2,6.7,3.3,0.1,0.04,,4.0,25.0,0.9622641509433962,High,High Sugar,Yes
3178530402988,Tartelettes citron,Bonne Maman,453.0,1904.0,66.0,41.0,18.0,8.7,6.0,1.7,0.3,0.12,,4.0,2.25416666666667,0.6212121212121212,Moderate,High Sugar,Yes
3336970711064,Curly cacahuète l'original,"Curly,Intersnack,Vico",486.0,2034.0,52.0,1.4,24.0,3.2,13.0,5.5,1.5,0.6,,4.0,0.75,0.02692307692307692,Moderate,Low Sugar,Yes
7622201693916,Full fat soft cheese,PHILADELPHIA,226.666666666667,933.0,4.3,4.3,21.0,14.0,5.4,0.2,0.75,0.3,,4.0,0.0,1.0,Low,Low Sugar,Yes
3229820797366,Avoine citron 🍋 graines de chia,Bjorg,447.0,1874.0,62.0,13.0,16.0,1.7,9.4,8.5,0.39,0.156,,4.0,9.8,0.20967741935483872,Moderate,Low Sugar,Yes
3412290015997,Paysan Breton - Beurre moulé demi-sel,Paysan Breton,713.193116634798,2984.0,0.6,0.6,80.0,57.0,0.8,2.5,2.0,0.8,,2.0,0.0,1.0,High,Low Sugar,No
3175681851832,Barre amande,Gerblé,420.0,1768.0,67.0,57.0,13.0,1.2,7.9,4.1,0.05,0.02,,4.0,24.4,0.8507462686567164,Moderate,High Sugar,Yes
5411188115533,soya Vanille,alpro,57.0,240.0,6.7,6.7,1.8,0.3,3.0,0.5,0.14,0.056,,4.0,8.58125,1.0,Low,Low Sugar,Yes
8076809545457,Penne Rigate Senza Glutine,Barilla,365.678776290631,1517.8,79.0,0.5,1.5,0.3,6.5,1.1,0.01,0.004,,4.0,0.0,0.006329113924050633,Moderate,Low Sugar,Yes
3700214616987,70% équateur,Alter Eco,582.0,2413.9,37.0,29.0,43.0,26.0,6.7,10.0,0.01,0.004,,3.0,0.0,0.7837837837837838,High,Moderate Sugar,No
8410376017113,Biscuits Mega Duo imp,Gullón,480.0,2010.0,67.0,31.0,20.0,8.6,5.9,4.0,0.45,0.18,,4.0,0.0,0.4626865671641791,Moderate,Moderate Sugar,Yes
8480000805317,Tortillas de avena 51%,Hacendado,286.666666666667,1208.0,40.0,1.9,6.0,1.9,15.0,5.4,1.3,0.52,,4.0,0.0,0.0475,Low,Low Sugar,Yes
6111242105676,LADID,Jaouda,95.0,403.7,17.5,9.4,1.4,0.5,3.2,2.5,0.0,0.0,,4.0,0.2653808593749965,0.5371428571428571,Low,Low Sugar,Yes
