product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
6111035000430,Sidi Ali,Sidi Ali,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
6111242100992,perly,perly,97.0,406.0,9.4,,3.0,,8.0,,,,,3.0,0.0
6111035002175,Sidi Ali,sidi ali,,,,,,,,,65.0,26.0,0.0,1.0,0.0
6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",,,,,,,,,65.0,26.0,0.0,1.0,0.0
6111252421568,اكوافينا,AQUAFINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,0.0,,0.0
6111266962187,Lait,Jaouda,45.0,188.0,4.9,0.0,1.5,1.0,3.1,,0.225,0.09,-3.0,3.0,0.0
3274080005003,Eau De Source,Cristaline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,0.0,1.0,0.0
6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,-2.0,3.0,0.0
6111242101180,uht jaouda 1L,Jaouda,58.0,,4.8,0.0,3.0,0.0,3.0,,0.0,0.0,-1.0,1.0,0.0
6111242106949,Jben,Jaouda,235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,11.0,4.0,0.0
6111128000071,Ain Saïss,Danone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6111035502828,Eau minéral naturelle,Ain atlas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
6111035000027,6111035000027,Sidi Ali,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0065,0.0026,0.0,,0.0
50184453,Marmite Yeast Extract,"Marmite,Unilever",260.0,1100.0,30.0,1.2,0.5,0.1,34.0,,10.8,4.32,23.0,4.0,0.734863281249993
6111242100985,,Jaouda,101.0,,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,-2.0,1.0,0.0
6111032009665,Lait Frais,centrale danone,45.0,,4.8,0.0,1.5,1.0,3.0,,0.0,0.0,-3.0,1.0,0.0
6111099003897,,lilia,675.0,,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,18.0,,0.0
5449000054227,Original Taste,Coca-Cola,42.0,180.0,10.6,10.6,0.0,0.0,0.0,,0.0,0.0,12.0,4.0,0.0
6111252421582,اكوافينا,pepsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
7622210449283,Prince Goût Chocolat,Lu,467.0,1962.0,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.196,20.0,4.0,6.80681818181818
3046920029759,Lindt Excellence 90%,Lindt&Sprüngli,592.0,,14.0,7.0,55.0,30.0,10.0,0.0,0.03,0.012,19.0,3.0,0.0
3046920028004,70% chocolate,Lindt & Sprüngli,566.0,2350.0,34.0,30.0,41.0,24.0,9.5,,0.1,0.04,25.0,3.0,0.0
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,,,,,,,,,0.78375,0.3135,0.0,,0.0
3017620425035,Nutella,Ferrero,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,31.0,4.0,13.0
5449000147417,Orange juice,Coca cola,39.0,165.0,9.3,17.0,0.0,0.0,0.0,5.0,0.126,0.0504,15.0,4.0,22.7272727272727
6111031005064,Tonik,Bimo,116.0,487.0,16.5,9.2,5.1,2.5,1.0,0.1,0.05,0.02,28.0,2.0,0.0
6111180000231,levure pâtisserie,,183.0,766.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0
6111128000163,Ain Saiss Eau Minerale Naturelle,Danone,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
3175680011480,Sésame,Gerblé,467.0,1961.0,64.0,17.0,18.0,2.0,10.0,4.6,0.38,0.152,9.0,4.0,10.8
6111162000839,Confiture de fraise,Délicia,250.0,1062.0,61.33,63.0,0.3,,0.5,,,,,3.0,75.0
6111035001659,Ain Atlas,Eau minérale naturelle des Montagnes d'Atlas,,,,,,,,,0.0,0.0,0.0,,0.0
6111242100206,Yaourt nature,Jaouda,78.5,330.0,8.0,0.0,3.3,2.4,4.2,0.0,0.0,0.0,1.0,3.0,0.0
8410376009392,zero sin azúcares Fibra,Gullón,431.0,1802.0,65.0,0.5,17.0,1.7,6.1,9.3,0.65,0.26,2.0,4.0,0.0
3046920028363,Excellence 85% Cacao Rich Dark,Lindt,175.0,,7.0,4.0,14.0,8.0,4.0,5.0,0.0075,0.003,15.0,3.0,0.0
6111035001635,Ain Atlas,Eau minérale naturelle,0.0,,0.0,0.0,0.0,0.0,0.0,,120.0,48.0,0.0,,0.0
6111184004129,Mayonnaise recette originale,Star,592.0,2435.4,0.22,0.05,65.21,9.8,1.12,,1.75,0.7,12.0,4.0,0.0
